Level,TimeTaken,WrongAttempts,PointsEarned,CompletionTime,Skipped,SessionID
1,8.469228,0,10,2024-06-03 16:35:34,No,20240603163534
2,39.52228,0,20,2024-06-03 16:35:34,No,20240603163534
3,29.0507,1,30,2024-06-03 16:35:34,No,20240603163534
4,21.1952,0,40,2024-06-03 16:35:34,No,20240603163534
