Level,TimeTaken,WrongAttempts,PointsEarned,CompletionTime,Skipped,SessionID
1,9.861046,0,10,2024-05-30 21:00:21,No,20240530210021
2,1.964386,0,20,2024-05-30 21:00:21,Yes,20240530210021
3,6.27301,0,30,2024-05-30 21:00:21,Yes,20240530210021
4,22.1914,0,40,2024-05-30 21:00:21,No,20240530210021
