Level,TimeTaken,WrongAttempts,PointsEarned,CompletionTime,SessionID
1,9.774946,0,10,2024-05-30 20:36:23,20240530203623
2,27.06031,1,20,2024-05-30 20:36:23,20240530203623
3,21.83273,1,30,2024-05-30 20:36:23,20240530203623
4,23.1619,1,40,2024-05-30 20:36:23,20240530203623
